split,ae_error,if_anomaly,risk_score
train,0.1313966,-0.0979989057637251,0.01663330741916523
train,0.12819658,-0.110549759392486,0.0
train,0.12671122,-0.1167994002367756,0.0
train,0.12528807,-0.1172416409983443,0.0
train,0.1239179,-0.1287711592209798,0.0
train,0.12297037,-0.150992335007884,0.0
train,0.12234148,-0.1647382206957983,0.0
train,0.12077989,-0.1709990474034562,0.0
train,0.118381925,-0.1685914480866113,0.0
train,0.116171345,-0.1647273441319664,0.0
train,0.11466108,-0.156327773116074,0.0
train,0.113792524,-0.1610409201163298,0.0
train,0.113377675,-0.1585316149879742,0.0
train,0.11353758,-0.1647680173927255,0.0
train,0.113928944,-0.168684292881901,0.0
train,0.11420205,-0.1738858636768982,0.0
train,0.11429572,-0.1732052609609278,0.0
train,0.11404705,-0.1698229718190093,0.0
train,0.113279305,-0.1619194496603413,0.0
train,0.111819,-0.1620428344788435,0.0
train,0.11043462,-0.1628419547213418,0.0
train,0.10924147,-0.1688347844422318,0.0
train,0.10773043,-0.1650124217942504,0.0
train,0.16814859,-0.0891210682666279,0.04320209905542403
train,0.16100687,-0.0822725151496359,0.06369783135900654
train,0.15566471,-0.0812059491025903,0.06688975406310295
train,0.15223199,-0.0805696818204027,0.06879391741943139
train,0.1476225,-0.1189349696408512,0.0
train,0.12621872,-0.1370306491734121,0.0
train,0.1029755,-0.1387292667470409,0.0
train,0.09850269,-0.142386131632178,0.0
train,0.06487277,-0.1634642661787388,0.0
train,0.07206409,-0.16618087262967,0.0
train,0.07035901,-0.1718412878275287,0.0
train,0.068332,-0.1641146086328972,0.0
train,0.06619804,-0.1623095263110735,0.0
train,0.06394515,-0.1622522804048892,0.0
train,0.06155059,-0.1690475929045466,0.0
train,0.059511736,-0.1718342816225623,0.0
train,0.05799143,-0.1711903825160863,0.0
train,0.05711278,-0.1713423180464617,0.0
train,0.056648627,-0.1725988853400397,0.0
train,0.05622591,-0.1711197143421463,0.0
train,0.055766873,-0.1655136254943179,0.0
train,0.055213954,-0.15820488376109,0.0
train,0.05462982,-0.1537223657640481,0.0
train,0.054022968,-0.158174382227311,0.0
train,0.053369455,-0.1672710270840933,0.0
train,0.053021993,-0.1746019349622151,0.0
