split,ae_error,if_anomaly,risk_score
train,0.058605775,0.0034656547476699,0.23272735633459982
train,0.052096132,-0.0058085183722951,0.20452793436331745
train,0.049398787,-0.0058496042085456,0.20440300712522472
train,0.047531407,-0.0085750179452436,0.19611600503745624
train,0.04416254,-0.0241795190204828,0.14866833452495448
train,0.039345723,-0.0583256071020875,0.04484237246599084
train,0.03666577,-0.0544693537976762,0.056567850603243534
train,0.035101477,-0.0449388188331046,0.08554677665967558
train,0.03327684,-0.0516730584659447,0.06507037810578396
train,0.0315481,-0.0514308880610231,0.06580673113143963
train,0.028985003,-0.0602427554240755,0.03901301454761293
train,0.028541723,-0.0581140831382653,0.04548554069626893
train,0.029361656,-0.0643189656040112,0.02661872673124777
train,0.028459962,-0.0698002751438048,0.009952037564630324
train,0.028063258,-0.0775462572889144,0.0
train,0.028636834,-0.0751244818909569,0.0
train,0.030082732,-0.0935584675928143,0.0
train,0.031976804,-0.1116311275225241,0.0
train,0.033526447,-0.1114399793122477,0.0
train,0.035627626,-0.0926524167486945,0.0
train,0.037955396,-0.0708266903691465,0.006831078349964629
train,0.039349113,-0.0536943012950962,0.058924506262722366
train,0.039021373,-0.0638394739480947,0.028076688251050554
train,0.037977755,-0.0727214048041119,0.0010699338063451024
train,0.037064653,-0.0786491034480758,0.0
train,0.036947623,-0.0815898394978686,0.0
train,0.03676889,-0.0779252099675652,0.0
train,0.036418706,-0.068165541654992,0.014922673638091133
train,0.036862303,-0.0715848984772973,0.0045256404303549375
train,0.037349742,-0.0684738143700586,0.013985327282578116
train,0.038341563,-0.077876788083283,0.0
train,0.03842874,-0.0897082560377316,0.0
train,0.037182994,-0.1026927243113184,0.0
train,0.03685663,-0.1037621483260493,0.0
train,0.03716966,-0.1044575192785913,0.0
train,0.0374365,-0.108632622026816,0.0
train,0.03677261,-0.1057335511322399,0.0
train,0.036402553,-0.1097312829487295,0.0
train,0.036714964,-0.109708198975099,0.0
train,0.036907803,-0.1023847449467237,0.0
train,0.036102176,-0.102792941419733,0.0
train,0.03539698,-0.1041262144795359,0.0
train,0.03433539,-0.1086426865669931,0.0
train,0.032669798,-0.1116363473830391,0.0
train,0.031122198,-0.1105022572802881,0.0
train,0.02953574,-0.0974649751083034,0.0
train,0.028047165,-0.0944132470471071,0.0
train,0.025575297,-0.098179233225046,0.0
train,0.022991491,-0.1091828660689837,0.0
train,0.021824418,-0.1134674719759533,0.0
train,0.020693759,-0.1153657229159529,0.0
train,0.01936517,-0.1134743586816151,0.0
train,0.017622855,-0.1185864839922108,0.0
train,0.016530225,-0.1141195631597813,0.0
train,0.016633099,-0.1035619043551125,0.0
train,0.01684007,-0.0921704087446907,0.0
train,0.017189873,-0.0856984564166971,0.0
train,0.01780317,-0.0928669707281236,0.0
train,0.018891899,-0.0933973809082948,0.0
train,0.019971697,-0.0977716244570377,0.0
train,0.020808794,-0.1024429505993904,0.0
train,0.020804062,-0.1104120848485651,0.0
train,0.020271137,-0.1127367270964532,0.0
train,0.019952508,-0.1127035409901894,0.0
train,0.019259103,-0.1088906188032102,0.0
train,0.018544799,-0.1149678419402405,0.0
train,0.017582731,-0.1175250169125529,0.0
train,0.016875437,-0.1118473614846874,0.0
train,0.016717544,-0.1087606424953082,0.0
train,0.01665381,-0.11221008371385,0.0
train,0.016997658,-0.1184867566691238,0.0
train,0.017766455,-0.120381773758997,0.0
train,0.018896827,-0.1185500067371675,0.0
train,0.020417342,-0.114642373663171,0.0
train,0.022371756,-0.1111163714298172,0.0
train,0.02386386,-0.0982302262924939,0.0
train,0.024992168,-0.0949169481487208,0.0
train,0.026594847,-0.0827523889751108,0.0
train,0.028345738,-0.0777250682827708,0.0
train,0.029211113,-0.0701739635246636,0.00881578571756082
train,0.029349187,-0.0670332318882242,0.018365620033662624
train,0.03018817,-0.076081297010382,0.0
train,0.031182025,-0.0827146558872239,0.0
train,0.031934664,-0.0953054876988706,0.0
train,0.032824658,-0.0962590159989014,0.0
train,0.03411043,-0.0948176635731904,0.0
train,0.036035582,-0.0852380246424035,0.0
train,0.036140665,-0.0753968927196208,0.0
train,0.035884276,-0.0794279469425245,0.0
train,0.03585835,-0.075471098211708,0.0
train,0.0351433,-0.0873047339409664,0.0
train,0.03294391,-0.1017320836100235,0.0
train,0.029667012,-0.1087723596442196,0.0
