Source_File,Ring_Index,Cluster_Label,First_Unit_Top_Depth,Last_Unit_Bottom_Depth,Source,Top_Depth_Avg,Bottom_Depth_Avg,含水率,容重（重度）,孔隙比,塑性指数,液性指数,内摩擦角,黏聚力,饱和单轴抗压强度标准值,完整性指数,泊松比,重型圆锥动力触探锤击数N,主RGB比例
项目14处理后数据.xlsx,960,2,39.568,50.733,Part_50,230.98,232.124,27.5552,19.5968,0.769984,14.2,0.66,12.6,34.2,,,,,67.2
项目14处理后数据.xlsx,961,2,40.291,51.457,Part_50,231.08,232.224,27.3912,19.6208,0.765104,14.2,0.66,12.6,34.2,,,,,63.2
项目14处理后数据.xlsx,962,2,40.812,51.978,Part_50,231.279,232.423,27.6495,19.583,0.7727900000000001,14.2,0.66,12.6,34.2,,,,,69.5
项目14处理后数据.xlsx,963,2,41.254,52.419,Part_50,231.479,232.623,27.64376,19.58384,0.7726192000000001,14.2,0.66,12.6,34.2,,,,,69.36
项目14处理后数据.xlsx,964,2,41.581,52.747,Part_50,231.677,232.821,27.63884,19.58456,0.7724728000000001,14.2,0.66,12.6,34.2,,,,,69.24
项目14处理后数据.xlsx,965,2,41.827,52.993,Part_50,232.014,233.158,27.63474,19.58516,0.7723508000000001,14.2,0.66,12.6,34.2,,,,,69.14
项目14处理后数据.xlsx,966,2,42.03,53.195,Part_50,232.354,233.498,27.63146,19.58564,0.7722532000000001,14.2,0.66,12.6,34.2,,,,,69.06
项目14处理后数据.xlsx,972,2,43.506,54.671,Part_50,233.49400000000003,234.638,27.59456,19.59104,0.7711552,14.2,0.66,12.6,34.2,,,,,68.16
项目14处理后数据.xlsx,973,2,43.806,54.972,Part_50,233.509,234.653,27.59128,19.59152,0.7710576,14.2,0.66,12.6,34.2,,,,,68.08
项目14处理后数据.xlsx,974,2,44.077,55.243,Part_50,233.524,234.668,27.588,19.592,0.7709600000000001,14.2,0.66,12.6,34.2,,,,,68.0
项目14处理后数据.xlsx,975,2,44.327,55.492,Part_50,233.538,234.682,27.57898,19.59332,0.7706916000000001,14.2,0.66,12.6,34.2,,,,,67.78
项目14处理后数据.xlsx,976,2,44.504,55.67,Part_50,233.571,234.715,27.5716,19.5944,0.770472,14.2,0.66,12.6,34.2,,,,,67.6
项目14处理后数据.xlsx,977,2,44.628,55.794,Part_50,233.93,235.074,27.56504,19.59536,0.7702768,14.2,0.66,12.6,34.2,,,,,67.44
项目14处理后数据.xlsx,978,2,44.72,55.885,Part_50,234.287,235.431,27.56012,19.59608,0.7701304,14.2,0.66,12.6,34.2,,,,,67.32
项目14处理后数据.xlsx,979,2,44.774,55.94,Part_50,234.645,235.789,27.5552,19.5968,0.769984,14.2,0.66,12.6,34.2,,,,,67.2
项目14处理后数据.xlsx,980,2,44.814,55.98,Part_50,234.594,235.738,27.55192,19.59728,0.7698864000000001,14.2,0.66,12.6,34.2,,,,,67.12
项目14处理后数据.xlsx,981,2,44.84,56.005,Part_50,234.462,235.606,27.54864,19.59776,0.7697888,14.2,0.66,12.6,34.2,,,,,67.04
项目14处理后数据.xlsx,982,2,44.869,56.035,Part_50,234.329,235.473,27.54372,19.59848,0.7696424000000001,14.2,0.66,12.6,34.2,,,,,66.92
项目14处理后数据.xlsx,983,2,44.916,56.082,Part_50,234.195,235.33900000000003,27.5347,19.5998,0.7693740000000001,14.2,0.66,12.6,34.2,,,,,66.7
项目14处理后数据.xlsx,984,2,44.979,56.144,Part_50,234.083,235.227,27.52814,19.60076,0.7691788000000002,14.2,0.66,12.6,34.2,,,,,66.54
项目14处理后数据.xlsx,985,2,45.043,56.209,Part_50,234.198,235.342,27.5224,19.6016,0.769008,14.2,0.66,12.6,34.2,,,,,66.4
项目14处理后数据.xlsx,986,2,45.118,56.284,Part_50,234.313,235.457,27.51748,19.60232,0.7688616,14.2,0.66,12.6,34.2,,,,,66.28
项目14处理后数据.xlsx,987,2,45.194,56.359,Part_50,234.426,235.57,27.51338,19.60292,0.7687396000000001,14.2,0.66,12.6,34.2,,,,,66.18
项目14处理后数据.xlsx,988,2,45.248,56.414,Part_50,234.539,235.683,27.5101,19.6034,0.7686420000000002,14.2,0.66,12.6,34.2,,,,,66.1
项目14处理后数据.xlsx,989,2,45.299,56.465,Part_50,234.653,235.797,27.50764,19.60376,0.7685688,14.2,0.66,12.6,34.2,,,,,66.04
项目14处理后数据.xlsx,990,2,45.311,56.477,Part_50,234.778,235.922,27.50108,19.60472,0.7683736,14.2,0.66,12.6,34.2,,,,,65.88
项目14处理后数据.xlsx,991,2,45.302,56.468,Part_50,234.902,236.046,27.49288,19.60592,0.7681296000000001,14.2,0.66,12.6,34.2,,,,,65.68
项目14处理后数据.xlsx,992,2,45.293,56.459,Part_50,235.025,236.169,27.48632,19.60688,0.7679344,14.2,0.66,12.6,34.2,,,,,65.52
项目14处理后数据.xlsx,993,2,45.273,56.439,Part_50,235.148,236.292,27.4814,19.6076,0.767788,14.2,0.66,12.6,34.2,,,,,65.4
项目14处理后数据.xlsx,998,2,45.088,56.254,Part_50,235.909,237.053,27.46172,19.61048,0.7672024000000001,14.2,0.66,12.6,34.2,,,,,64.92
项目14处理后数据.xlsx,999,2,45.052,56.218,Part_50,236.078,237.222,27.45352,19.61168,0.7669584,14.2,0.66,12.6,34.2,,,,,64.72
项目14处理后数据.xlsx,1000,2,45.014,56.18,Part_50,236.299,237.443,27.44696,19.61264,0.7667632000000001,14.2,0.66,12.6,34.2,,,,,64.56
项目14处理后数据.xlsx,1001,2,44.978,56.144,Part_50,236.52,237.664,27.44122,19.61348,0.7665924000000001,14.2,0.66,12.6,34.2,,,,,64.42
项目14处理后数据.xlsx,1004,2,44.866,56.032,Part_50,237.144,238.288,27.42974,19.61516,0.7662508000000001,14.2,0.66,12.6,34.2,,,,,64.14
项目14处理后数据.xlsx,1005,2,44.821,55.987,Part_50,237.258,238.402,27.42646,19.61564,0.7661532000000001,14.2,0.66,12.6,34.2,,,,,64.06
项目14处理后数据.xlsx,1006,2,44.777,55.942,Part_50,237.371,238.515,27.424,19.616,0.7660800000000001,14.2,0.66,12.6,34.2,,,,,64.0
项目14处理后数据.xlsx,1007,2,44.731,55.897,Part_50,237.483,238.627,27.4158,19.6172,0.7658360000000001,14.2,0.66,12.6,34.2,,,,,63.8
项目14处理后数据.xlsx,1008,2,44.687,55.853,Part_50,237.595,238.739,27.40924,19.61816,0.7656408,14.2,0.66,12.6,34.2,,,,,63.64
项目14处理后数据.xlsx,1009,2,44.642,55.807,Part_50,237.635,238.779,27.4035,19.619,0.7654700000000001,14.2,0.66,12.6,34.2,,,,,63.5
项目14处理后数据.xlsx,1010,2,44.596,55.762,Part_50,237.646,238.79,27.398580000000003,19.61972,0.7653236000000001,14.2,0.66,12.6,34.2,,,,,63.38
项目14处理后数据.xlsx,1011,2,44.552,55.718,Part_50,237.896,239.04,27.39448,19.62032,0.7652016,14.2,0.66,12.6,34.2,,,,,63.28
项目14处理后数据.xlsx,1012,2,44.507,55.672,Part_50,238.145,239.289,27.3912,19.6208,0.765104,14.2,0.66,12.6,34.2,,,,,63.2
项目14处理后数据.xlsx,1013,2,44.462,55.628,Part_50,238.503,239.647,27.38792,19.62128,0.7650064000000001,14.2,0.66,12.6,34.2,,,,,63.12
项目14处理后数据.xlsx,1014,2,44.417,55.583,Part_50,238.866,240.01,27.710680000000004,19.56508,0.7720032,12.661473684210526,0.7141333333333334,14.993263157894738,27.533052631578947,,,,,76.92
项目14处理后数据.xlsx,1015,2,44.373,55.538,Part_50,239.227,240.371,27.71348,19.56448,0.7720312000000001,12.622,0.7155222222222223,15.054666666666668,27.362,,,,,76.84
项目14处理后数据.xlsx,1016,2,44.327,55.493,Part_50,239.458,240.602,27.713,19.56436,0.7719616,12.596137931034482,0.7164321839080461,15.094896551724135,27.24993103448276,,,,,77.26
项目14处理后数据.xlsx,1017,2,44.283,55.449,Part_50,239.539,240.683,27.84963148514852,19.54896277227723,0.7773640673267327,13.390122264150945,0.6884956981132077,13.859809811320751,30.69052981132076,,,,,62.7
项目14处理后数据.xlsx,1018,2,44.251,55.416,Part_50,239.618,240.762,27.9829,19.53414,0.7826904,14.18812,0.6604180000000001,12.61848,34.148520000000005,,,,,77.46
项目14处理后数据.xlsx,1019,2,44.22,55.386,Part_50,239.697,240.841,27.98412,19.53386,0.7826972000000001,14.170839999999998,0.6610260000000001,12.64536,34.073640000000005,,,,,77.24
项目14处理后数据.xlsx,1020,2,44.19,55.356,Part_50,239.776,240.92,27.98926,19.533,0.7828188,14.15248,0.661672,12.67392,33.994080000000004,,,,,77.1
项目14处理后数据.xlsx,1021,2,44.16,55.325,Part_50,239.787,240.931,27.99704,19.53176,0.7830208000000001,14.1352,0.6622800000000001,12.7008,33.919200000000004,,,,,77.44
项目14处理后数据.xlsx,1022,2,44.13,55.296,Part_50,239.677,240.821,27.99662,19.53172,0.7829788000000001,14.11792,0.6628880000000001,12.72768,33.84432,,,,,77.82
项目14处理后数据.xlsx,1023,2,44.1,55.266,Part_50,239.565,240.709,27.99866,19.53132,0.78301,14.10064,0.6634960000000001,12.75456,33.76944,,,,,78.26
项目14处理后数据.xlsx,1024,2,44.07,55.235,Part_50,239.62,240.764,28.00498,19.5303,0.7831704,14.08444,0.6640659999999999,12.77976,33.69924,,,,,78.5
项目14处理后数据.xlsx,1025,2,44.039,55.205,Part_50,239.847,240.991,28.00866,19.52966,0.7832504,14.06716,0.664674,12.80664,33.62436,,,,,78.34
项目14处理后数据.xlsx,1026,2,44.009,55.175,Part_50,240.073,241.217,28.00596,19.52996,0.7831424000000001,14.05096,0.665244,12.83184,33.55416,,,,,78.04
项目14处理后数据.xlsx,1027,2,43.98,55.145,Part_50,240.258,241.402,28.0049,19.53002,0.7830832000000001,14.03476,0.665814,12.85704,33.48396,,,,,77.9
项目14处理后数据.xlsx,1028,2,43.949,55.115,Part_50,240.435,241.579,28.00794,19.52948,0.7831460000000001,14.01856,0.6663840000000001,12.88224,33.41376,,,,,78.34
项目14处理后数据.xlsx,1029,2,43.919,55.085,Part_50,240.606,241.75,28.01508,19.52834,0.7833308000000001,14.00236,0.666954,12.90744,33.343560000000004,,,,,78.88
项目14处理后数据.xlsx,1030,2,43.889,55.054,Part_50,240.775,241.919,28.0173,19.52792,0.7833692000000001,13.98616,0.6675240000000001,12.93264,33.273360000000004,,,,,79.3
项目14处理后数据.xlsx,1031,2,43.858,55.024,Part_50,240.92,242.064,28.0187,19.52762,0.7833832000000001,13.96996,0.668094,12.95784,33.203160000000004,,,,,79.18
