Thrust.Spd,Thrust.Force,CH.Spd,CH.Torque,CH.Tot.ContactForce,Ring.No
33.25806451612903,188112.5,0.9649999886751175,-7736.774193548387,30057.0,960
33.25,188100.0,0.9666666587193807,-7736.875,30055.22222222222,960
33.27272727272727,188100.0,0.9659999907016754,-7728.181818181818,30078.9,960
33.29411764705883,188118.1818181818,0.9672727205536582,-7720.0,30075.45454545454,960
33.31428571428572,188150.0,0.9666666587193807,-7712.285714285715,30072.58333333333,960
33.33333333333334,188161.5384615385,0.9676923018235427,-7705.0,30079.84615384615,960
33.35135135135135,188178.5714285714,0.9671428501605988,-7698.108108108108,30077.07142857143,960
33.36842105263158,188200.0,0.9679999947547913,-7691.578947368421,30074.66666666667,960
33.38461538461539,188220.0,0.9666666587193807,-7685.384615384615,30091.4,960
33.4,188186.6666666667,0.9653333226839701,-7683.25,30091.4,960
33.39024390243902,188173.3333333333,0.9666666587193807,-7678.536585365854,30074.66666666667,960
33.40476190476191,188160.0,0.9679999947547913,-7676.190476190476,30074.66666666667,960
33.41860465116279,188166.6666666667,0.9679999947547913,-7678.837209302325,30083.06666666667,960
33.43181818181818,188153.3333333333,0.9679999947547913,-7688.636363636364,30074.66666666667,960
33.44444444444444,188120.0,0.9693333307902018,-7689.555555555556,30091.4,960
33.45652173913044,188093.3333333333,0.9706666668256124,-7681.521739130435,30091.4,960
33.46808510638298,188086.6666666667,0.9679999987284342,-7675.106382978724,30091.4,960
33.45833333333334,188066.6666666667,0.9693333347638448,-7674.583333333333,30083.06666666667,960
33.46938775510204,188026.6666666667,0.9679999987284342,-7673.673469387755,30083.06666666667,960
33.46,187980.0,0.9693333347638448,-7680.0,30091.46666666667,960
33.45098039215686,187946.6666666667,0.9693333347638448,-7684.509803921569,30091.46666666667,960
33.46153846153846,187906.6666666667,0.9693333347638448,-7679.615384615385,30099.86666666666,960
33.45283018867924,187860.0,0.9693333347638448,-7680.188679245283,30099.86666666666,960
33.44444444444444,187846.6666666667,0.9706666707992554,-7689.259259259259,30108.26666666667,960
33.43636363636364,187873.3333333333,0.9706666707992554,-7688.909090909091,30108.26666666667,960
33.44642857142857,187853.3333333333,0.9693333347638448,-7690.0,30125.0,960
33.45614035087719,187840.0,0.9679999987284342,-7683.333333333333,30125.0,960
33.46551724137931,187833.3333333333,0.9679999987284342,-7678.96551724138,30125.0,960
33.47457627118644,187826.6666666667,0.9679999987284342,-7684.067796610169,30133.4,960
33.48333333333333,187826.6666666667,0.9666666626930237,-7688.333333333333,30133.4,960
33.49180327868852,187820.0,0.9653333266576131,-7686.393442622951,30141.8,960
33.57377049180328,187813.3333333333,0.9666666587193807,-7691.147540983607,30150.2,960
33.65573770491803,187820.0,0.9653333226839701,-7701.147540983607,30158.53333333333,960
33.73770491803279,187826.6666666667,0.9666666587193807,-7702.786885245901,30158.53333333333,960
33.75409836065574,187826.6666666667,0.9653333226839701,-7696.721311475409,30150.13333333334,960
33.75409836065574,187826.6666666667,0.9639999866485596,-7692.786885245901,30150.13333333334,960
33.75409836065574,187833.3333333333,0.9653333226839701,-7683.770491803279,30141.73333333333,960
33.77049180327869,187833.3333333333,0.9653333226839701,-7663.44262295082,30158.46666666667,960
33.78688524590164,187826.6666666667,0.9639999866485596,-7647.868852459016,30150.06666666667,960
33.78688524590164,187813.3333333333,0.9639999866485596,-7635.573770491803,30141.66666666667,960
33.78688524590164,187820.0,0.9653333226839701,-7626.721311475409,30141.66666666667,960
33.80327868852459,187826.6666666667,0.9653333226839701,-7610.163934426229,30141.66666666667,960
33.81967213114754,187846.6666666667,0.9653333226839701,-7591.475409836065,30133.26666666667,960
33.83606557377049,187866.6666666667,0.9653333226839701,-7577.377049180328,30133.26666666667,960
33.85245901639344,187873.3333333333,0.9653333226839701,-7575.245901639344,30133.26666666667,960
33.8688524590164,187893.3333333333,0.9653333226839701,-7581.803278688524,30133.26666666667,960
33.8688524590164,187913.3333333333,0.9653333226839701,-7575.081967213115,30124.86666666666,960
33.8688524590164,187933.3333333333,0.9666666587193807,-7563.934426229508,30116.53333333333,960
33.8688524590164,187946.6666666667,0.9666666587193807,-7554.754098360656,30133.26666666667,960
33.88524590163934,187946.6666666667,0.9666666587193807,-7560.0,30141.66666666667,960
33.88524590163934,187960.0,0.9679999947547913,-7572.295081967213,30141.66666666667,960
33.88524590163934,187960.0,0.9679999947547913,-7579.672131147541,30141.66666666667,960
33.88524590163934,187946.6666666667,0.9679999947547913,-7570.163934426229,30133.33333333333,960
33.88524590163934,187933.3333333333,0.9679999947547913,-7555.081967213115,30141.73333333333,960
33.88524590163934,187920.0,0.9679999947547913,-7551.967213114754,30141.73333333333,960
33.88524590163934,187906.6666666667,0.9666666587193807,-7548.360655737705,30133.33333333333,960
33.88524590163934,187886.6666666667,0.9666666587193807,-7545.409836065573,30141.66666666667,960
33.88524590163934,187846.6666666667,0.9666666587193807,-7536.55737704918,30141.66666666667,960
33.88524590163934,187813.3333333333,0.9666666587193807,-7535.901639344263,30133.26666666667,960
33.88524590163934,187793.3333333333,0.9666666587193807,-7540.163934426229,30124.86666666666,960
33.88524590163934,187760.0,0.9679999947547913,-7553.44262295082,30124.86666666666,960
33.88524590163934,187720.0,0.9693333307902018,-7543.11475409836,30124.86666666666,960
33.90163934426229,187666.6666666667,0.9679999947547913,-7530.0,30116.46666666667,960
33.91803278688525,187633.3333333333,0.9666666587193807,-7527.049180327869,30116.46666666667,960
33.91803278688525,187633.3333333333,0.9666666587193807,-7530.327868852459,30116.46666666667,960
33.91803278688525,187620.0,0.9653333226839701,-7536.721311475409,30108.06666666667,960
33.91803278688525,187606.6666666667,0.9653333226839701,-7534.590163934427,30108.06666666667,960
33.91803278688525,187633.3333333333,0.9653333226839701,-7523.770491803279,30116.4,960
33.90163934426229,187653.3333333333,0.9653333226839701,-7518.688524590164,30108.0,960
33.90163934426229,187666.6666666667,0.9666666587193807,-7530.983606557377,30116.4,960
33.88524590163934,187660.0,0.9679999947547913,-7539.672131147541,30116.4,960
33.90163934426229,187673.3333333333,0.9693333307902018,-7541.967213114754,30099.66666666667,960
33.90163934426229,187700.0,0.9693333307902018,-7542.459016393443,30108.06666666667,960
33.90163934426229,187713.3333333333,0.9693333307902018,-7549.672131147541,30116.46666666667,960
33.90163934426229,187726.6666666667,0.9706666668256124,-7548.852459016393,30133.2,960
33.91803278688525,187726.6666666667,0.9706666668256124,-7541.639344262295,30124.8,960
33.9344262295082,187740.0,0.9706666668256124,-7543.11475409836,30124.8,960
