split,ae_error,if_anomaly,risk_score
train,0.04594869,-0.0132978414624669,0.4518505218712855
train,0.035518546,-0.0690620704706043,0.34332294847231964
train,0.03822056,-0.1111488981916378,0.26900731758462093
train,0.031438276,-0.1374877489405327,0.2164143083745158
train,0.022805797,-0.1975603737716245,0.10137138040223666
train,0.017148465,-0.2336391023779415,0.03193878806691095
train,0.0116706295,-0.2492839973448773,0.0022211688726605783
train,0.0073136035,-0.2626582525209376,0.0
train,0.00587027,-0.2664792218938789,0.0
train,0.005090472,-0.2741992735277969,0.0
train,0.0071572196,-0.2702216289819297,0.0
train,0.00639748,-0.2657156780566618,0.0
train,0.007237705,-0.2625616743350314,0.0
train,0.010551216,-0.2611397663038656,0.0
train,0.010947787,-0.2634582108076796,0.0
train,0.010032054,-0.26543214840794,0.0
train,0.010167441,-0.2650054860363547,0.0
train,0.011671349,-0.253644632805537,0.0
train,0.011277483,-0.2371687404480617,0.024172466459854675
train,0.011200648,-0.2259823422205363,0.0444407908142324
train,0.012222907,-0.2173659595944647,0.06005257525767581
train,0.010858859,-0.227765996017161,0.041209038023870305
train,0.009426607,-0.2396192745047481,0.019732411842439485
train,0.011229843,-0.2477127769605707,0.005068019461528
train,0.007943077,-0.2500488976567401,0.0008352672353084969
train,0.0063983994,-0.2527056738542057,0.0
train,0.0083419,-0.2247472107562318,0.04667869122056889
train,0.008769251,-0.2336134787025179,0.030614146503578042
train,0.008260687,-0.251259905738146,0.0
train,0.007062321,-0.2634416060566649,0.0
train,0.0063125393,-0.264269821123424,0.0
train,0.004228945,-0.2482402747079394,0.00411226093922142
train,0.0042417673,-0.2620133194872384,0.0
train,0.0023747352,-0.2782843920918909,0.0
train,0.0022736357,-0.2790253108177589,0.0
train,0.0020625796,-0.2817449499549777,0.0
train,0.0022232425,-0.2803438984874564,0.0
train,0.0022479366,-0.2815658356354449,0.0
train,0.002659389,-0.2818814497017242,0.0
train,0.0034199278,-0.2795360396674437,0.0
train,0.0034796584,-0.2820841832945802,0.0
train,0.0036206634,-0.2842709350313883,0.0
train,0.012231893,-0.2449728491417126,0.010032418601507793
train,0.015681036,-0.2407055880887131,0.01808145399899607
train,0.013634196,-0.2439314419038249,0.01191931546081743
train,0.012940873,-0.2469173507419672,0.006509230141741605
train,0.013022053,-0.252936717731943,0.0
train,0.015736204,-0.2564991119044721,0.00035691987043094686
train,0.007123284,-0.2413514383535666,0.016593952258871895
train,0.0031390095,-0.2570862257288815,0.0
train,0.0075759036,-0.2329775815698392,0.03176631086238272
train,0.007817874,-0.2142560551336693,0.06568732480265702
train,0.0103192935,-0.2410543455035239,0.017132246544982258
train,0.017512118,-0.2504426380701091,0.0017540685242549395
train,0.013323005,-0.2492911108839801,0.002208280048670012
train,0.023688551,-0.240294501856431,0.02457650833461978
train,0.021425942,-0.2456187023336357,0.013304951555260243
train,0.020732256,-0.2480653984748748,0.008373712920577463
train,0.014802716,-0.2583404799630089,0.0
train,0.011027975,-0.2589943725429966,0.0
train,0.010790963,-0.2565826035232811,0.0
train,0.0043286616,-0.2781613292576407,0.0
train,0.0036533466,-0.2829715740619186,0.0
train,0.00470515,-0.2840477769321359,0.0
train,0.0050391024,-0.2784864538407853,0.0
train,0.0037710117,-0.2799333385837863,0.0
train,0.00437823,-0.273618488958487,0.0
train,0.0053792465,-0.2752090719922565,0.0
train,0.006200315,-0.276683839399021,0.0
train,0.0049540056,-0.2785880248340818,0.0
train,0.0079408,-0.2507376773159138,0.0
train,0.014156067,-0.2319793092614217,0.03357505274064096
train,0.015887149,-0.2086072204067066,0.07638760549388138
train,0.016088251,-0.2148310749684499,0.0652551881216712
train,0.01407801,-0.2255890582013747,0.04515337120888939
train,0.015149509,-0.2387837624597223,0.021246252918551305
train,0.012121942,-0.2413193196677633,0.016652147213892878
train,0.008953565,-0.2400805806898844,0.01889658397391104
train,0.0087845605,-0.2224633528193486,0.050816750004330676
train,0.014582515,-0.2169924521090396,0.06072932309995768
train,0.019132553,-0.2199632412858114,0.058142480129584374
train,0.02170943,-0.2254936201065903,0.04997260277745452
train,0.019257925,-0.2419162858643322,0.01845639817032431
train,0.015830817,-0.2315325289484164,0.03480942331143362
train,0.01601043,-0.2230258212269256,0.05035147143107919
train,0.011886138,-0.2388965038425304,0.021041979937343396
train,0.006327779,-0.2582351853917375,0.0
train,0.0036588775,-0.2782945170096996,0.0
train,0.003146292,-0.2815349345224414,0.0
train,0.0034940103,-0.2802186513609359,0.0
train,0.0034504223,-0.2796566567441438,0.0
train,0.0032384847,-0.2794233578062409,0.0
train,0.0035016935,-0.2820536579293146,0.0
train,0.00428878,-0.280797480799496,0.0
train,0.0041592848,-0.2750206859986475,0.0
train,0.004314738,-0.2815343092105897,0.0
train,0.0039901966,-0.2816255799547236,0.0
train,0.0039172117,-0.2837050020562535,0.0
train,0.0041456614,-0.2786793715282624,0.0
train,0.0036102931,-0.2786167837911484,0.0
train,0.0029092287,-0.27882812723284,0.0
train,0.0049827797,-0.2789292156624539,0.0
train,0.005509127,-0.2819448063834993,0.0
train,0.0052989614,-0.2843759397877498,0.0
train,0.005381847,-0.2780326877195914,0.0
train,0.005997974,-0.2791858041985948,0.0
train,0.010115713,-0.2623279244085538,0.0
train,0.009403892,-0.2485579159040927,0.0035367356753249544
train,0.008594394,-0.2498429379233255,0.0012084399577417823
train,0.012865396,-0.2574528360566794,0.0
train,0.032381177,-0.0331168988511973,0.4061980535684517
train,0.022306032,-0.0900730732708784,0.29576575313401743
train,0.01990315,-0.1379557410789037,0.20728296061981882
train,0.018924173,-0.1742556150246789,0.14080922081196362
train,0.011769157,-0.2216743662530556,0.05224629285732196
train,0.0077267406,-0.2442874976628638,0.011274187917021665
train,0.008613006,-0.2637033997598317,0.0
train,0.006260312,-0.2657929793578364,0.0
train,0.0053203185,-0.2648129134417976,0.0
train,0.004898036,-0.2718409892961727,0.0
train,0.006493394,-0.2643701343594424,0.0
train,0.0055506187,-0.2598745743443331,0.0
train,0.0062949774,-0.2585456703512716,0.0
train,0.009655476,-0.2616554675019364,0.0
