Source_File,Ring_Index,Cluster_Label,First_Unit_Top_Depth,Last_Unit_Bottom_Depth,Source,Top_Depth_Avg,Bottom_Depth_Avg,含水率,容重（重度）,孔隙比,塑性指数,液性指数,内摩擦角,黏聚力,饱和单轴抗压强度标准值,完整性指数,泊松比,重型圆锥动力触探锤击数N,主RGB比例
项目30处理后数据（矩阵）.xlsx,400,3,34.891,46.057,Part_50,33611.38144,33868.93684,,25.87908,,,,49.2092,7.800000000000001,16.3724,0.6937624,0.4442551999999999,,98.36
项目30处理后数据（矩阵）.xlsx,401,3,34.43,45.596,Part_50,33674.38778,33931.94392,,25.882439999999995,,,,49.1756,7.799999999999999,16.4732,0.6997432,0.4440535999999999,,98.64
项目30处理后数据（矩阵）.xlsx,402,3,34.013,45.179,Part_50,33737.39316,33994.95004,,25.88636,,,,49.1364,7.8,16.590799999999998,0.7067207999999999,0.4438183999999999,,97.84
项目30处理后数据（矩阵）.xlsx,403,3,33.674,44.839,Part_50,33800.3985,34057.95612,,25.89174,,,,49.0826,7.8,16.752200000000002,0.7162972,0.4434955999999999,,94.26
项目30处理后数据（矩阵）.xlsx,404,3,33.379,44.545,Part_50,33863.40388,34120.96224,,25.9,,,,49.0,7.8,17.0,0.731,0.4429999999999999,,100.0
项目30处理后数据（矩阵）.xlsx,405,3,33.114,44.28,Part_50,33926.40928,34183.96836,16.8,25.30852,0.522,10.800000000000002,-0.09,45.9868,10.83552,17.0,0.6700664000000001,0.4474639999999999,25.899999999999995,99.16
项目30处理后数据（矩阵）.xlsx,406,3,32.875,44.041,Part_50,33989.4146,34246.97442,16.8,25.30216,0.522,10.800000000000002,-0.09,45.95439999999999,10.86816,17.0,0.6694112,0.4475119999999999,25.899999999999995,99.28
项目30处理后数据（矩阵）.xlsx,407,3,32.64,43.806,Part_50,34052.41996,34309.980520000005,16.8,25.27248,0.522,10.8,-0.09,45.8032,11.02048,17.0,0.6663535999999999,0.4477359999999998,25.9,99.44
项目30处理后数据（矩阵）.xlsx,408,3,32.386,43.551,Part_50,34115.42534,34372.98662,16.8,25.23114,0.522,10.8,-0.09,45.5926,11.232639999999998,17.0,0.6620948,0.4480479999999999,25.9,99.38
项目30处理后数据（矩阵）.xlsx,409,3,32.129,43.295,Part_50,34178.43066,34435.99268,16.8,25.1898,0.522,10.8,-0.09,45.382,11.4448,17.0,0.657836,0.4483599999999999,25.9,99.4
项目30处理后数据（矩阵）.xlsx,410,3,31.855,43.021,Part_50,34241.43608,34498.99886,16.8,25.158,0.522,10.8,-0.09,45.22,11.608,17.0,0.65456,0.4485999999999999,25.9,99.56
项目30处理后数据（矩阵）.xlsx,411,3,31.56,42.726,Part_50,34304.4415,34562.005,16.8,25.14528,0.522,10.8,-0.09,45.15520000000001,11.67328,17.0,0.6532496000000001,0.4486959999999999,25.9,99.76
