split,ae_error,if_anomaly,risk_score
train,0.11836694,-0.0137732189423047,0.4040115651257808
train,0.123099476,-0.0233222145801063,0.3736190373679579
train,0.12454128,-0.0653219868251537,0.24019115297203633
train,0.120659746,-0.0815177498748886,0.18839438244966988
train,0.11340284,-0.0900542164692755,0.1612245304815144
train,0.104030944,-0.0865176787147194,0.17248061708463705
train,0.09312839,-0.0827702356826631,0.18440797266135947
train,0.083968095,-0.103095264859342,0.11971750291338178
train,0.07922962,-0.1248741683717335,0.05039964429849447
train,0.07892473,-0.11707739440503,0.07521520377643999
train,0.080755115,-0.1285077426899017,0.03883470987880884
train,0.08224586,-0.1216723152530212,0.06059049718795491
train,0.08405316,-0.129099194791349,0.03695223709397491
train,0.08557451,-0.1537599891207793,0.0
train,0.08523095,-0.1602636662917042,0.0
train,0.08245357,-0.1621934140460832,0.0
train,0.076167084,-0.1637100922636271,0.0
train,0.07178331,-0.1590452487921667,0.0
train,0.06897689,-0.1565165052149267,0.0
train,0.06475903,-0.1713826984068655,0.0
train,0.06170704,-0.1768840634875282,0.0
train,0.060112357,-0.1815251518604307,0.0
train,0.0593396,-0.1826504380266075,0.0
train,0.058348272,-0.1743710445374905,0.0
train,0.0574662,-0.1728979344450681,0.0
train,0.057933304,-0.1667982278731425,0.0
train,0.058732238,-0.1589603910782839,0.0
train,0.05743895,-0.1640653008733409,0.0
train,0.056662038,-0.1606923432866712,0.0
train,0.056673978,-0.1695820307136419,0.0
train,0.05618228,-0.1789237913834913,0.0
train,0.055511795,-0.1747926174802911,0.0
train,0.054362252,-0.1738753127918315,0.0
train,0.054844074,-0.1686490400968416,0.0
train,0.05573965,-0.1619453346248486,0.0
train,0.054870095,-0.1656672753963753,0.0
train,0.053079203,-0.1682396821824092,0.0
train,0.051907733,-0.1709422777640066,0.0
train,0.051723063,-0.1717949568797692,0.0
train,0.052736793,-0.1617109277709878,0.0
train,0.054508608,-0.1429449367060067,0.0
train,0.05403764,-0.1377691060040609,0.009357657812035763
train,0.051708706,-0.14387284773692,0.0
train,0.048500195,-0.1516952142643582,0.0
train,0.044747934,-0.1609018814823075,0.0
train,0.043759167,-0.1798725552548725,0.0
train,0.044420198,-0.1778369676517148,0.0
train,0.04544879,-0.178041896123754,0.0
train,0.045915887,-0.1803812652504893,0.0
train,0.045879636,-0.1807621310311881,0.0
train,0.047886763,-0.1725600838786737,0.0
train,0.051490758,-0.1688688113262824,0.0
train,0.05737906,-0.1641330670600647,0.0
train,0.065736026,-0.1547976719774565,0.0
train,0.0734,-0.1530385317862656,0.0
train,0.079416186,-0.155755114036154,0.0
train,0.08328768,-0.1666594491639548,0.0
train,0.086129606,-0.1768163591839452,0.0
train,0.08572494,-0.1804706414340202,0.0
train,0.08299574,-0.1819128803168023,0.0
train,0.08124097,-0.1879817968910714,0.0
train,0.07862249,-0.1845374532388421,0.0
train,0.07661458,-0.1819215624507006,0.0
train,0.07481966,-0.179968806356293,0.0
train,0.075165145,-0.1766452603202989,0.0
train,0.07757809,-0.1740889055531461,0.0
train,0.07861828,-0.1685750923692114,0.0
train,0.08246633,-0.166387499816386,0.0
train,0.08652155,-0.1568919032254199,0.0
train,0.08807881,-0.1643776517764951,0.0
train,0.08998165,-0.1731109637143252,0.0
train,0.094189495,-0.1790729724534097,0.0
train,0.099969335,-0.1812250558049502,0.0
train,0.10536591,-0.180772360023419,0.0
train,0.113001384,-0.1709776063575714,0.0
train,0.11859218,-0.1674345575976037,0.0
train,0.119593486,-0.1712108005717262,0.0
train,0.11823229,-0.1578956652103199,0.0
train,0.116495185,-0.1453870363696406,0.0
train,0.11662742,-0.1403765356276037,0.0010587350545070277
train,0.11318445,-0.1337231001408981,0.02223527868115573
train,0.11135977,-0.1120813605026945,0.09111657234075884
train,0.11259256,-0.1187956574488942,0.06974631895999378
train,0.11447324,-0.1346848185971447,0.019174322745541275
train,0.111662135,-0.1329108856622094,0.024820393600585657
train,0.10493316,-0.0898257737123587,0.16195161771602756
train,0.0995928,-0.0773921061717021,0.20152547450626349
train,0.09446046,-0.079161749583052,0.19589305633989784
train,0.08509458,-0.1053140195155043,0.11265565420876385
train,0.07298291,-0.1465702423360966,0.0
train,0.06642126,-0.1706175508125746,0.0
train,0.065287456,-0.1682312478740684,0.0
train,0.06268296,-0.1535263833983128,0.0
train,0.058731966,-0.1649102660860372,0.0
