Source_File,Ring_Index,Cluster_Label,First_Unit_Top_Depth,Last_Unit_Bottom_Depth,Source,Top_Depth_Avg,Bottom_Depth_Avg,含水率,容重（重度）,孔隙比,塑性指数,液性指数,内摩擦角,黏聚力,饱和单轴抗压强度标准值,完整性指数,泊松比,重型圆锥动力触探锤击数N,主RGB比例
芜湖左线_处理后数据.xlsx,501,0,24.541,35.706,Part_50,30.50768,30.79768,,,,,,,,,,,,99.14
芜湖左线_处理后数据.xlsx,503,0,24.833,35.998,Part_50,30.550880000000003,30.84088,,,,,,,,,,,,99.18
芜湖左线_处理后数据.xlsx,504,0,24.995,36.161,Part_50,30.572,30.862,,,,,,,,,,,,99.18
芜湖左线_处理后数据.xlsx,505,0,25.167,36.333,Part_50,30.594,30.884,,,,,,,,,,,,99.18
芜湖左线_处理后数据.xlsx,506,0,25.354,36.52,Part_50,30.6156,30.9056,,,,,,,,,,,,99.18
芜湖左线_处理后数据.xlsx,507,0,25.554,36.719,Part_50,30.637,30.927,,,,,,,,,,,,99.16
芜湖左线_处理后数据.xlsx,508,0,25.757,36.923,Part_50,30.659,30.949,,,,,,,,,,,,99.18
芜湖左线_处理后数据.xlsx,509,0,25.96,37.126,Part_50,30.68036,30.97036,,,,,,,,,,,,99.14
芜湖左线_处理后数据.xlsx,510,0,26.149,37.314,Part_50,30.702,30.992,,,,,,,,,,,,99.1
芜湖左线_处理后数据.xlsx,511,0,26.31,37.476,Part_50,30.724,31.014,,,,,,,,,,,,99.56
芜湖左线_处理后数据.xlsx,512,0,26.435,37.601,Part_50,30.74512,31.035120000000003,,,,,,,,,,,,99.56
芜湖左线_处理后数据.xlsx,513,0,26.498,37.663,Part_50,30.767,31.057,,,,,,,,,,,,99.14
芜湖左线_处理后数据.xlsx,514,0,26.523,37.689,Part_50,30.789,31.079,,,,,,,,,,,,99.56
芜湖左线_处理后数据.xlsx,515,0,26.52,37.686,Part_50,30.81088,31.100880000000004,,,,,,,,,,,,99.38
芜湖左线_处理后数据.xlsx,516,0,26.496,37.661,Part_50,30.832,31.122,,,,,,,,,,,,99.36
芜湖左线_处理后数据.xlsx,517,0,26.47,37.636,Part_50,30.854,31.144,,,,,,,,,,,,99.56
芜湖左线_处理后数据.xlsx,518,0,26.446,37.612,Part_50,30.87564,31.16564,,,,,,,,,,,,99.14
芜湖左线_处理后数据.xlsx,519,0,26.421,37.586,Part_50,30.897,31.187,,,,,,,,,,,,99.56
芜湖左线_处理后数据.xlsx,520,0,26.422,37.588,Part_50,30.91876,31.20876,,,,,,,,,,,,99.56
芜湖左线_处理后数据.xlsx,521,0,26.433,37.599,Part_50,30.94036,31.23036,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,522,0,26.473,37.638,Part_50,30.962,31.252,,,,,,,,,,,,99.56
芜湖左线_处理后数据.xlsx,523,0,26.555,37.721,Part_50,30.98352,31.27352,,,,,,,,,,,,99.42
芜湖左线_处理后数据.xlsx,524,0,26.647,37.813,Part_50,31.00512,31.29512,,,,,,,,,,,,99.32
芜湖左线_处理后数据.xlsx,525,0,26.739,37.904,Part_50,31.027,31.317,,,,,,,,,,,,99.62
芜湖左线_处理后数据.xlsx,526,0,26.829,37.995,Part_50,31.049,31.339,,,,,,,,,,,,99.54
芜湖左线_处理后数据.xlsx,527,0,26.921,38.087,Part_50,31.071,31.361,,,,,,,,,,,,99.34
芜湖左线_处理后数据.xlsx,528,0,27.013,38.178,Part_50,31.09236,31.38236,,,,,,,,,,,,99.12
芜湖左线_处理后数据.xlsx,529,0,27.095,38.261,Part_50,31.114,31.404,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,530,0,27.174,38.34,Part_50,31.136,31.426,,,,,,,,,,,,99.3
芜湖左线_处理后数据.xlsx,531,0,27.27,38.435,Part_50,31.15708,31.44708,,,,,,,,,,,,99.5
芜湖左线_处理后数据.xlsx,532,0,27.398,38.564,Part_50,31.179,31.469,,,,,,,,,,,,99.72
芜湖左线_处理后数据.xlsx,533,0,27.579,38.745,Part_50,31.201,31.491,,,,,,,,,,,,99.82
芜湖左线_处理后数据.xlsx,534,0,27.784,38.949,Part_50,31.22288,31.51288,,,,,,,,,,,,99.82
芜湖左线_处理后数据.xlsx,535,0,28.047,39.213,Part_50,31.244,31.534,,,,,,,,,,,,99.64
芜湖左线_处理后数据.xlsx,536,0,28.329,39.495,Part_50,31.26504,31.55504,,,,,,,,,,,,99.44
芜湖左线_处理后数据.xlsx,537,0,28.641,39.807,Part_50,31.2876,31.577600000000004,,,,,,,,,,,,99.22
芜湖左线_处理后数据.xlsx,538,0,28.951,40.117,Part_50,31.309,31.599,,,,,,,,,,,,99.02
芜湖左线_处理后数据.xlsx,539,0,29.26,40.426,Part_50,31.3308,31.6208,,,,,,,,,,,,99.2
芜湖左线_处理后数据.xlsx,540,0,29.536,40.702,Part_50,31.3524,31.6424,,,,,,,,,,,,99.4
芜湖左线_处理后数据.xlsx,541,0,29.77,40.936,Part_50,31.374,31.664,,,,,,,,,,,,99.62
芜湖左线_处理后数据.xlsx,542,0,61.455,72.621,Part_50,31.39552,31.68552,,,,,,,,,,,,99.82
芜湖左线_处理后数据.xlsx,543,0,30.039,41.205,Part_50,31.41708,31.70708,,,,,,,,,,,,99.84
芜湖左线_处理后数据.xlsx,544,0,30.05,41.216,Part_50,31.439,31.729,,,,,,,,,,,,99.74
芜湖左线_处理后数据.xlsx,545,0,30.014,41.18,Part_50,31.46028,31.75028,,,,,,,,,,,,99.54
芜湖左线_处理后数据.xlsx,546,0,29.979,41.145,Part_50,31.48288,31.77288,,,,,,,,,,,,99.32
芜湖左线_处理后数据.xlsx,547,0,29.953,41.118,Part_50,31.496,31.786,,,,,,,,,,,,99.48
芜湖左线_处理后数据.xlsx,548,0,29.947,41.113,Part_50,31.46708,31.75708,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,549,0,29.943,41.109,Part_50,31.439,31.729,,,,,,,,,,,,99.1
芜湖左线_处理后数据.xlsx,550,0,29.94,41.105,Part_50,31.41016,31.70016,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,551,0,29.924,41.09,Part_50,31.382,31.672,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,552,0,29.894,41.06,Part_50,31.353,31.643,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,553,0,29.835,41.0,Part_50,31.325,31.615,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,554,0,29.763,40.929,Part_50,31.29624,31.58624,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,555,0,29.671,40.837,Part_50,31.26728,31.55728,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,556,0,29.563,40.728,Part_50,31.23928,31.52928,,,,,,,,,,,,99.08
芜湖左线_处理后数据.xlsx,557,0,29.473,40.639,Part_50,31.211,31.501,,,,,,,,,,,,99.08
