cluster,status,source_folder,source_files,geo_rings_before,tbm_rings_before,common_rings,common_ring_min,common_ring_max,aligned_geo_rows,aligned_tbm_rows,points_per_ring_min,points_per_ring_median,points_per_ring_max,rings_with_ge48_points,estimated_windows,geo_output,tbm_output
cluster_0,aligned,E:\flink\TBM_ECUST\data_0,501-600.csv;601-700.csv;cluster_0.csv,200,200,199,501,700,199,179400,733,880.0,1173,199,21342,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_0\cluster_0.csv,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_0\tbm_parameters.csv
cluster_1,aligned,E:\flink\TBM_ECUST\data_1,cluster_1.csv;yztl_1327-1600.xlsx,98,264,89,1327,1591,89,344425,626,3837.0,8042,89,42571,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_1\cluster_1.csv,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_1\tbm_parameters.csv
cluster_2,aligned,E:\flink\TBM_ECUST\data_2,cluster_2.csv;tsjy_960-1160.xlsx,124,185,113,960,1160,113,33616,13,250.0,582,111,3594,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_2\cluster_2.csv,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_2\tbm_parameters.csv
cluster_3,aligned,E:\flink\TBM_ECUST\date_3,cluster_3.csv;sjtl_400-600.xlsx,201,165,165,400,600,165,157553,11,812.0,2378,164,18805,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_3\cluster_3.csv,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_3\tbm_parameters.csv
cluster_4,aligned,E:\flink\TBM_ECUST\date_4,cluster_4.csv;sjtl_336-353.xlsx,18,17,17,336,353,17,24878,1141,1403.0,2295,17,3017,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_4\cluster_4.csv,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_4\tbm_parameters.csv
cluster_5,aligned,E:\flink\TBM_ECUST\date_5,cluster_5.csv;htcjsd_200-400.xlsx,200,190,189,200,400,189,35473,69,173.0,435,189,3406,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_5\cluster_5.csv,E:\flink\TBM_ECUST\aligned_by_stratum\cluster_5\tbm_parameters.csv

