Source_File,Ring_Index,Cluster_Label,First_Unit_Top_Depth,Last_Unit_Bottom_Depth,Source,Top_Depth_Avg,Bottom_Depth_Avg,含水率,容重（重度）,孔隙比,塑性指数,液性指数,内摩擦角,黏聚力,饱和单轴抗压强度标准值,完整性指数,泊松比,重型圆锥动力触探锤击数N,主RGB比例
项目30处理后数据（矩阵）.xlsx,336,4,55.652,66.818,Part_50,32207.94408,32465.45244,16.8,25.44848,0.522,10.8,-0.09,48.107200000000006,35.0,14.0,0.5281232,0.4512984,25.9,99.24
项目30处理后数据（矩阵）.xlsx,337,4,55.485,66.651,Part_50,32222.90146,32480.41054,16.8,25.45472,0.522,10.8,-0.09,48.1408,35.0,14.0,0.5285648000000001,0.4512576,25.9,99.36
项目30处理后数据（矩阵）.xlsx,338,4,55.211,66.376,Part_50,32237.8598,32495.36962,16.8,25.46096,0.522,10.8,-0.09,48.1744,35.0,14.0,0.5290064,0.4512168,25.9,99.48
项目30处理后数据（矩阵）.xlsx,339,4,54.833,65.998,Part_50,32252.8172,32510.32774,16.8,25.47032,0.522,10.8,-0.09,48.2248,35.0,14.0,0.5296688,0.4511556,25.9,99.66
项目30处理后数据（矩阵）.xlsx,341,4,53.729,64.895,Part_50,32282.73286,32540.2449,16.8,25.49424,0.522,10.800000000000002,-0.09,48.3536,35.0,14.0,0.5313616,0.4509992,25.899999999999995,99.88
项目30处理后数据（矩阵）.xlsx,342,4,53.069,64.235,Part_50,32297.691260000003,32555.20402,16.8,25.50984,0.522,10.800000000000002,-0.09,48.4376,35.0,14.0,0.5324656,0.4508972,25.899999999999995,99.58
项目30处理后数据（矩阵）.xlsx,343,4,52.346,63.512,Part_50,32312.649500000003,32570.163,16.8,25.52856,0.522,10.800000000000002,-0.09,48.5384,35.0,14.0,0.5337904,0.4507748,25.899999999999995,99.22
项目30处理后数据（矩阵）.xlsx,344,4,51.589,62.755,Part_50,32327.607000000004,32585.12124,16.8,25.54832,0.522,10.800000000000002,-0.09,48.6448,35.0,14.0,0.5351888,0.4506456,25.899999999999995,99.16
项目30处理后数据（矩阵）.xlsx,345,4,50.821,61.986,Part_50,32342.56532,32600.08028,16.8,25.57016,0.522,10.800000000000002,-0.09,48.7624,35.0,14.0,0.5367344000000001,0.4505028,25.899999999999995,99.58
项目30处理后数据（矩阵）.xlsx,346,4,50.075,61.241,Part_50,32357.52274,32615.03844,16.8,25.59408,0.522,10.8,-0.09,48.8912,35.0,14.0,0.5384272000000001,0.4503464,25.9,99.96
项目30处理后数据（矩阵）.xlsx,347,4,49.346,60.512,Part_50,32372.4811,32629.99754,16.8,25.618,0.522,10.8,-0.09,49.02,35.0,14.0,0.54012,0.45019,25.9,99.5
项目30处理后数据（矩阵）.xlsx,348,4,48.65,59.816,Part_50,32387.43848,32644.95564,16.8,25.644,0.522,10.8,-0.09,49.16,35.0,14.0,0.54196,0.45002,25.9,99.0
项目30处理后数据（矩阵）.xlsx,349,4,47.978,59.144,Part_50,32402.39684,32659.91476,16.8,25.67104,0.522,10.8,-0.09,49.305600000000005,35.0,14.0,0.5438736,0.4498432,25.9,99.52
项目30处理后数据（矩阵）.xlsx,350,4,47.339,58.505,Part_50,32417.35418,32674.87284,16.8,25.69808,0.522,10.8,-0.09,49.4512,35.0,14.0,0.5457872,0.4496663999999999,25.9,99.92
项目30处理后数据（矩阵）.xlsx,351,4,46.724,57.889,Part_50,32432.312540000003,32689.83192,16.8,25.72824,0.522,10.8,-0.09,49.6136,35.0,14.0,0.5479216,0.4494692,25.9,99.38
项目30处理后数据（矩阵）.xlsx,352,4,58.061,69.226,Part_50,32447.26992,32704.790040000004,16.8,25.75736,0.522,10.8,-0.09,49.7704,35.0,14.0,0.5499824,0.4492788,25.9,99.18
项目30处理后数据（矩阵）.xlsx,353,4,45.593,56.759,Part_50,32462.22826,32719.74912,16.8,25.78648,0.522,10.8,-0.09,49.9272,35.0,14.0,0.5520432000000001,0.4490884,25.9,99.74
